1876 TOC,1884 TOC,1886 TOC,1909 TOC,1922 TOC,1927 TOC
,THE HARE AND THE HEDGEHOG,,,,
,"THE SPINDLE, THE SHUTTLE, AND THE NEEDLE",,,,
,THE PEASANT AND THE DEVIL,,,,
,THE CRUMBS ON THE TABLE,,,,
,THE SEA-HARE,,,,
,THE MASTER THIEF,,,,
,THE DRUMMER,,,,
,THE EAR OF CORN,,,,
,THE GRAVE MOUND,,,,
,OLD RINKRANK,,,,
,THE CRYSTAL BALL,,,,
,MAID MALEEN,,,,
,THE BOOT OF BUFFALO LEATHER,,,,
,THE GOLDEN KEY,,,,
, Legend 1 St. Joseph in the Forest,,,,
, Legend 2 The Twelve Apostles,,,,
, Legend 3 The Rose,,,,
, Legend 4 Poverty and Humility Lead to Heaven,,,,
, Legend 5 God's Food,,,,
, Legend 6 The Three Green Twigs,,,,
, Legend 7 Our Lady's Little Glass,,,,
, Legend 8 The Aged Mother,,,,
, Legend 9 The Heavenly Wedding,,,,
, Legend 10 The Hazel Branch,,,,
